10,  4,  0.61765322010614909E-001,  0.19070024892542392E-006
20,  4,  0.87959790995228104E-001,  0.95355226381599323E-007
30,  4,  0.10961885699362028,  0.63571803821105277E-007
40,  4,  0.13345925499743316,  0.47679279191470414E-007
50,  4,  0.18304853400331922,  0.38143893377196036E-007
60,  4,  0.20953962899511680,  0.31786559606672427E-007
70,  4,  0.23192657199979294,  0.27246037426209568E-007
80,  4,  0.27549917600117624,  0.23840406981889828E-007
90,  4,  0.30263342500256840,  0.21191343346771419E-007
100,  4,  0.32628302299417555,  0.19072548429477365E-007
