10,  2,  0.61810697996406816E-001,  0.19070009615873573E-006
20,  2,  0.14447628399648238,  0.95355128681973156E-007
30,  2,  0.19808570800523739,  0.63571234498738249E-007
40,  2,  0.25093258800188778,  0.47679229453478911E-007
50,  2,  0.32140001100196969,  0.38144164715703255E-007
60,  2,  0.34803985300095519,  0.31787198206956191E-007
70,  2,  0.40566773200407624,  0.27245470768377800E-007
80,  2,  0.46477190100267762,  0.23840442509026616E-007
90,  2,  0.52045767299568979,  0.21191949528542864E-007
100,  2,  0.57975715300563024,  0.19072416534982040E-007
10,  4,  0.76006681003491394E-001,  0.19070024892542392E-006
20,  4,  0.86029411992058158E-001,  0.95355226381599323E-007
30,  4,  0.12986865499988198,  0.63571803821105277E-007
40,  4,  0.16582858699257486,  0.47679279191470414E-007
50,  4,  0.20047327100473922,  0.38143893377196036E-007
60,  4,  0.20313305300078355,  0.31786559606672427E-007
70,  4,  0.24042245600139722,  0.27246037426209568E-007
80,  4,  0.27390293100324925,  0.23840406981889828E-007
90,  4,  0.31056162700406276,  0.21191343346771419E-007
100,  4,  0.36844292799651157,  0.19072548429477365E-007
10,  4,  0.47504870999546256E-001,  0.19070024892542392E-006
20,  4,  0.67260263000207487E-001,  0.95355226381599323E-007
30,  4,  0.11505674300133251,  0.63571803821105277E-007
40,  4,  0.14088253599766176,  0.47679279191470414E-007
50,  4,  0.17203296299703652,  0.38143893377196036E-007
60,  4,  0.22003457800019532,  0.31786559606672427E-007
70,  4,  0.25253833299939288,  0.27246037426209568E-007
80,  4,  0.29458732499915641,  0.23840406981889828E-007
90,  4,  0.31954821299586911,  0.21191343346771419E-007
100,  4,  0.38916974199673859,  0.19072548429477365E-007
10,  4,  0.42209680002997629E-001,  0.19070024892542392E-006
20,  4,  0.69963825997547247E-001,  0.95355226381599323E-007
30,  4,  0.10338583900011145,  0.63571803821105277E-007
40,  4,  0.14466291900316719,  0.47679279191470414E-007
50,  4,  0.20267818099819124,  0.38143893377196036E-007
60,  4,  0.22165911900083302,  0.31786559606672427E-007
70,  4,  0.25848473899532109,  0.27246037426209568E-007
80,  4,  0.27451059599843575,  0.23840406981889828E-007
90,  4,  0.32443408900144277,  0.21191343346771419E-007
100,  4,  0.35186559100111481,  0.19072548429477365E-007
10,  4,  0.38151018001371995E-001,  0.19070024892542392E-006
20,  4,  0.67076744016958401E-001,  0.95355226381599323E-007
30,  4,  0.10255006697843783,  0.63571803821105277E-007
40,  4,  0.13416767900343984,  0.47679279191470414E-007
50,  4,  0.16866789798950776,  0.38143893377196036E-007
60,  4,  0.19962804400711320,  0.31786559606672427E-007
70,  4,  0.23019503598334268,  0.27246037426209568E-007
80,  4,  0.26543815797776915,  0.23840406981889828E-007
90,  4,  0.29740244598360732,  0.21191343346771419E-007
100,  4,  0.33369358998606913,  0.19072548429477365E-007
10,  4,  0.40765254001598805E-001,  0.19070024892542392E-006
20,  4,  0.10404861098504625,  0.95355226381599323E-007
30,  4,  0.13429221801925451,  0.63571803821105277E-007
40,  4,  0.16245737401186489,  0.47679279191470414E-007
50,  4,  0.22145387300406583,  0.38143893377196036E-007
60,  4,  0.21921036299318075,  0.31786559606672427E-007
70,  4,  0.24761293898336589,  0.27246037426209568E-007
80,  4,  0.24671637700521387,  0.23840406981889828E-007
90,  4,  0.27801982400706038,  0.21191343346771419E-007
100,  4,  0.30792078599915840,  0.19072548429477365E-007
10,  4,  0.43915100017329678E-001,  0.19070024892542392E-006
20,  4,  0.86009246995672584E-001,  0.95355226381599323E-007
30,  4,  0.12242962999152951,  0.63571803821105277E-007
40,  4,  0.15122180298203602,  0.47679279191470414E-007
50,  4,  0.18947274601669051,  0.38143893377196036E-007
60,  4,  0.26125186699209735,  0.31786559606672427E-007
70,  4,  0.27173497498733923,  0.27246037426209568E-007
80,  4,  0.29024588598986156,  0.23840406981889828E-007
90,  4,  0.31435468600830063,  0.21191343346771419E-007
100,  4,  0.36341774498578161,  0.19072548429477365E-007
10,  4,  0.43251124996459112E-001,  0.19070024892542392E-006
20,  4,  0.86840041010873392E-001,  0.95355226381599323E-007
30,  4,  0.12591060399427079,  0.63571803821105277E-007
40,  4,  0.15574712998932227,  0.47679279191470414E-007
50,  4,  0.19885403299122117,  0.38143893377196036E-007
60,  4,  0.22930691399960779,  0.31786559606672427E-007
70,  4,  0.24922914500348270,  0.27246037426209568E-007
80,  4,  0.27911994198802859,  0.23840406981889828E-007
90,  4,  0.30624949600314721,  0.21191343346771419E-007
100,  4,  0.33672954799840227,  0.19072548429477365E-007
10,  8,  0.40848306991392747E-001,  0.19070020584877057E-006
20,  8,  0.72835978004150093E-001,  0.95355181528589128E-007
30,  8,  0.11016070502228104,  0.63571694575159654E-007
40,  8,  0.12977850600145757,  0.47679473702544328E-007
50,  8,  0.16068680200260133,  0.38143775693555426E-007
60,  8,  0.18209836599999107,  0.31786658638566223E-007
70,  8,  0.21650626399787143,  0.27245969924649671E-007
80,  8,  0.25622524798382074,  0.23840329710367314E-007
90,  8,  0.28863931100931950,  0.21191514765206421E-007
100,  8,  0.32144627699744888,  0.19072464940705913E-007
