integration intervals,  MPI procs,  cpu time,  precision
1441440,  2,  0.15969631960615516E-001,  0.13868218622370421E-005
14414400,  2,  0.88573014014400542E-001,  0.13872869786268893E-006
144144000,  2,  0.89029629703145474,  0.13874279503056641E-007
1441440000,  2,  8.8621826390735805,  0.13874754678511181E-008
14414400000,  2,  86.830251477076672,  0.13891421346556854E-009
integration intervals,  MPI procs,  cpu time,  precision
1441440,  4,  0.90307520003989339E-002,  0.13868218742274507E-005
14414400,  4,  0.76732011977583170E-001,  0.13872873338982572E-006
144144000,  4,  0.55627537099644542,  0.13873765247751635E-007
1441440000,  4,  5.4635136749129742,  0.13875363080728675E-008
14414400000,  4,  53.769814657978714,  0.13836798373745296E-009
